Open,High,Low,Close,Volume
97150.0,97167.52,97167.53,97150.0,0.16949797
97167.52,97150.01,97178.65,97150.0,1.01651889
97150.01,97167.36,97167.49,97150.0,2.57796748
97167.37,97124.26,97167.37,97124.26,0.8410826
97124.27,97221.94,97225.0,97096.29,1.49720285
97221.94,97197.85,97251.61,97197.82,1.28418081
97197.85,97150.13,97221.03,97150.12,0.39534368
97150.12,97130.64,97150.13,97130.64,0.30729658
97130.64,97172.83,97172.83,97130.64,0.59468576
97172.82,97109.31,97172.83,97109.29,0.9243183
97109.31,97015.02,97109.31,97015.01,0.74409008
97015.02,97000.0,97015.03,97000.0,2.07055721
97000.0,96955.54,97000.01,96955.54,0.86761121
96955.54,96931.38,96955.54,96910.33,1.04983028
96931.38,96898.47,96970.68,96898.47,1.77916242
96898.47,96922.1,96922.11,96898.47,0.86366314
96922.1,96892.62,96956.34,96858.34,0.83764427
96892.65,96925.09,96957.36,96892.65,2.93182421
96925.1,96925.1,96925.1,96925.09,0.30123797
96925.09,96872.36,96925.1,96872.35,0.59476312
96872.36,96805.25,96872.37,96805.22,0.69503208
96805.25,96843.0,96843.01,96805.24,0.17630742
96843.0,96806.39,96874.75,96806.37,1.02209181
96806.39,96792.39,96806.39,96792.38,0.5329609
96792.39,96790.33,96799.76,96790.32,0.4496082
96790.34,96838.16,96838.17,96790.33,1.88574385
96838.15,96676.34,96838.16,96658.01,1.1284838
96676.34,96644.45,96693.56,96640.74,1.38529327
96644.44,96606.67,96688.67,96606.65,3.16421271
96606.67,96718.28,96718.28,96606.64,0.97218186
96718.28,96719.07,96742.98,96718.28,1.05078688
96719.07,96660.66,96754.95,96660.66,2.04464108
96660.67,96708.44,96718.83,96654.83,0.34485716
96708.45,96793.57,96793.57,96708.44,2.30451194
96793.61,96851.19,96851.19,96793.61,1.45557493
96845.36,96730.02,96845.36,96730.02,1.91994638
96730.04,96642.48,96730.04,96629.84,0.67022745
96642.48,96627.25,96642.48,96561.26,1.41856805
96643.57,96670.13,96670.15,96643.57,0.40522577
96670.13,96670.31,96700.0,96670.13,0.43225188
96670.33,96580.92,96703.23,96580.92,3.34792828
96580.91,96500.0,96580.92,96500.0,1.03322657
96500.0,96563.57,96580.55,96484.49,1.22199334
96553.43,96687.14,96687.15,96490.37,1.32976044
96687.14,96630.24,96687.15,96630.23,0.22469184
96630.23,96616.94,96630.23,96616.92,0.37079178
96616.93,96476.91,96616.94,96457.28,0.57139725
96476.91,96388.41,96519.09,96358.57,1.99712789
96388.4,96445.38,96500.31,96380.69,1.72507211
96445.39,96440.15,96500.31,96440.05,0.90178601
96440.14,96416.69,96489.62,96416.68,0.69225103
96416.69,96366.59,96416.7,96366.58,0.20669915
96366.59,96417.09,96436.36,96366.59,0.41828853
96417.08,96446.86,96448.67,96417.08,0.70920088
96446.86,96500.35,96536.15,96445.99,1.75363048
96500.35,96577.31,96655.46,96500.35,2.14710699
96577.33,96604.98,96655.45,96577.33,1.99406848
96604.98,96614.81,96645.53,96584.68,2.75301201
96614.82,96500.02,96614.82,96500.01,0.47022089
96500.01,96676.41,96676.42,96500.01,1.08619272
96676.41,96711.12,96745.4,96676.41,1.27844705
96711.12,96687.96,96756.42,96687.94,0.48398619
96687.96,96656.75,96687.96,96656.75,0.8254643
96656.76,96605.35,96656.76,96605.34,0.95392321
96605.34,96509.4,96605.34,96500.01,0.81046229
96500.03,96740.0,96740.0,96500.03,0.95450842
96739.99,96757.01,96757.02,96739.99,0.39970932
96757.01,96705.94,96757.02,96698.36,0.59353768
96705.95,96675.33,96705.95,96644.75,0.56233413
96675.33,96691.86,96693.25,96675.33,0.22765771
96691.86,96651.66,96730.87,96651.64,0.7578456
96651.65,96642.93,96651.66,96642.93,0.46258162
96642.94,96598.82,96642.94,96598.8,0.77520157
96598.81,96698.47,96698.49,96598.81,1.67330817
96698.47,96636.45,96698.48,96636.45,1.2666021
96636.45,96598.57,96636.46,96598.55,0.64226042
96598.58,96687.53,96687.56,96598.58,1.14191776
96661.44,96745.26,96765.72,96661.44,0.42503037
96745.26,96738.48,96745.26,96738.23,0.67341973
96738.52,96797.51,96798.99,96738.51,1.86128882
96797.5,96830.22,96869.49,96791.41,0.97988057
96827.37,96827.27,96827.52,96785.31,1.55293229
96827.27,96851.49,96890.16,96827.27,0.96516559
96851.48,96820.0,96851.49,96818.31,0.67456096
96820.01,96854.76,96858.75,96814.48,0.92142822
96854.77,96853.4,96921.11,96853.23,1.07076289
96853.41,96822.55,96870.98,96822.53,0.32319113
96822.54,96841.63,96853.41,96765.57,0.96018467
96841.64,96938.73,96965.09,96841.64,3.35902757
96938.75,96945.41,96997.73,96938.75,0.98802712
96945.41,96970.17,96970.19,96937.76,0.5417002
96970.18,96978.0,96996.29,96970.17,0.81905366
96978.01,97034.99,97035.0,96978.0,3.09230421
97034.99,96932.32,97035.0,96932.32,1.2548518
96932.33,96919.84,96955.28,96919.83,0.52466141
96919.84,96924.41,96924.42,96913.51,0.34601405
96924.41,96910.86,96924.42,96910.85,0.62370595
96910.87,96929.36,96981.69,96879.61,0.8794009
96929.36,96976.18,96996.06,96929.35,2.01292478
96949.99,96917.72,96976.18,96917.7,1.19060806
96917.71,96894.02,96917.72,96894.0,1.33160925
96894.01,96894.5,96934.92,96894.01,1.16296442
96894.41,96795.15,96894.41,96794.29,1.61862504
96795.16,96785.08,96824.02,96772.23,1.93467781
96785.08,96819.69,96900.0,96785.08,1.83845947
96819.69,96768.33,96819.69,96768.32,0.69387242
96768.34,96656.25,97094.0,96653.45,4.89881661
96656.25,96906.91,96934.63,96656.25,4.15050363
96906.9,96949.85,96986.89,96845.32,2.1219698
96949.85,97040.32,97093.99,96949.85,0.84977353
97040.33,97072.39,97094.0,97038.27,0.91314338
97072.38,97142.07,97182.68,97072.38,1.21700192
97142.07,97142.7,97230.0,97142.07,1.54907524
97142.7,96971.02,97142.71,96971.02,1.87421662
96971.02,96765.37,96973.39,96765.37,1.08281093
96765.37,96825.51,96825.51,96765.37,0.5222082
96825.52,96839.16,96878.97,96825.52,0.45690936
96839.16,96879.29,96912.88,96839.16,2.20651238
96879.29,96880.23,97043.61,96879.29,1.88656855
96880.24,96802.4,96880.24,96706.25,1.87573903
96802.41,96876.55,96896.83,96763.21,0.78878053
96876.56,96830.67,96982.27,96799.32,3.71382718
96830.68,96845.97,96895.33,96779.45,1.97720482
96845.98,96764.35,96873.85,96720.34,0.70320428
96764.36,97000.01,97000.02,96764.36,2.76348041
97000.0,96923.4,97200.0,96923.37,2.59015764
96923.4,96813.84,96999.68,96728.74,1.31133591
96813.84,96953.47,96969.91,96812.21,1.68569554
96953.48,97058.82,97058.83,96896.32,3.06067194
97058.83,97110.28,97160.95,97058.82,3.86487538
97110.29,97209.7,97209.71,97109.4,5.24005473
97209.71,97570.37,97652.59,97209.71,15.42325945
97570.37,97339.42,97652.57,97308.55,3.53556231
97339.42,97598.4,97600.0,97339.42,2.46379796
97598.4,97656.54,97747.18,97561.66,2.07963263
97656.54,97755.19,97863.69,97656.53,3.08744324
97755.2,97680.0,97866.94,97674.51,8.7304159
97680.0,97635.45,97762.65,97632.26,7.11322101
97632.26,97538.69,97668.49,97530.42,3.75712524
97538.69,97571.49,97647.07,97538.69,0.68887428
97571.49,97408.33,97571.49,97375.38,4.37951767
97408.33,97200.0,97408.33,97073.06,4.22755994
97200.0,97344.98,97406.13,97091.07,4.38456054
97344.98,97378.64,97402.23,97321.05,0.48229344
97378.65,97430.72,97465.3,97349.12,0.54832487
97430.72,97449.72,97465.29,97384.38,1.57318533
97449.73,97320.59,97449.73,97304.76,1.49515106
97320.58,97322.27,97359.71,97319.34,0.99512895
97322.27,97684.43,97699.99,97322.27,4.0495963
97684.43,97643.45,97706.63,97627.81,0.79896617
97643.45,97540.55,97643.45,97540.25,1.1140396
97540.59,97659.49,97659.5,97501.4,2.05196082
97659.49,97692.23,97695.0,97645.95,1.14582801
97692.23,97611.53,97759.75,97611.52,2.39793876
97611.53,97614.18,97700.23,97562.85,1.89344306
97614.17,97582.08,97614.18,97552.48,2.34078217
97582.08,97640.44,97640.44,97533.85,0.6165222
97640.44,97522.75,97640.44,97522.75,1.14159522
97522.75,97450.21,97571.75,97450.21,1.81374817
97450.2,97356.55,97450.2,97356.55,0.6943458
97356.55,97256.01,97356.55,97240.48,1.30965547
97256.0,97138.02,97256.0,97138.02,0.19709554
97138.02,97112.29,97157.29,97057.01,1.84758732
97112.29,97194.6,97232.9,97100.89,1.46169742
97194.62,97237.82,97304.0,97194.62,1.38656599
