2025-04-26 20:28:15,923 - INFO - Entered LONG at 92833.14, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,923 - INFO - Exited LONG at 92617.37 → Return: -0.23%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,924 - INFO - Entered LONG at 91862.61, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,924 - INFO - Exited LONG at 91945.50 → Return: 0.09%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,924 - INFO - Entered LONG at 92142.72, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,924 - INFO - Exited LONG at 92465.13 → Return: 0.35%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,924 - INFO - Entered LONG at 93499.44, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,925 - INFO - Exited LONG at 93446.99 → Return: -0.06%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,925 - INFO - Entered LONG at 93315.51, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,925 - INFO - Exited LONG at 93322.94 → Return: 0.01%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,925 - INFO - Entered LONG at 93476.47, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,925 - INFO - Exited LONG at 93274.93 → Return: -0.22%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,926 - INFO - Entered LONG at 93312.68, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,926 - INFO - Exited LONG at 93055.20 → Return: -0.28%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,926 - INFO - Entered LONG at 93319.84, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,926 - INFO - Exited LONG at 93573.23 → Return: 0.27%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,927 - INFO - Entered LONG at 94037.95, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,927 - INFO - Exited LONG at 94245.29 → Return: 0.22%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,928 - INFO - Entered LONG at 95048.95, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,928 - INFO - Exited LONG at 94862.05 → Return: -0.20%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,928 - INFO - Entered LONG at 94766.05, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,928 - INFO - Exited LONG at 94599.50 → Return: -0.18%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,928 - INFO - Entered LONG at 94765.67, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,928 - INFO - Exited LONG at 94525.43 → Return: -0.25%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,929 - INFO - Entered LONG at 94853.79, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,929 - INFO - Exited LONG at 94981.28 → Return: 0.13%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,929 - INFO - Entered LONG at 94562.61, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,929 - INFO - Exited LONG at 94622.14 → Return: 0.06%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,930 - INFO - Entered LONG at 94389.70, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,931 - INFO - Backtest complete: 23 trades, Avg Return: -0.01%
2025-04-26 20:28:15,932 - INFO - Entered LONG at 93415.38, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,932 - INFO - Exited LONG at 93212.27 → Return: -0.22%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,932 - INFO - Entered LONG at 92996.54, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,932 - INFO - Exited LONG at 92790.27 → Return: -0.22%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,932 - INFO - Entered LONG at 92883.13, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,933 - INFO - Exited LONG at 93039.23 → Return: 0.17%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,933 - INFO - Entered LONG at 93688.01, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,934 - INFO - Exited LONG at 93362.66 → Return: -0.35%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,934 - INFO - Entered LONG at 92679.78, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,934 - INFO - Exited LONG at 93731.80 → Return: 1.14%, Reason: take_profit, Capital: 10.00
2025-04-26 20:28:15,934 - INFO - Entered LONG at 93873.28, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,934 - INFO - Exited LONG at 93755.59 → Return: -0.13%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,935 - INFO - Entered LONG at 93524.54, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,935 - INFO - Exited LONG at 93519.48 → Return: -0.01%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,935 - INFO - Entered LONG at 93687.07, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,935 - INFO - Exited LONG at 93503.89 → Return: -0.20%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,935 - INFO - Entered LONG at 93391.34, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,935 - INFO - Exited LONG at 93120.25 → Return: -0.29%, Reason: signal_flip, Capital: 10.00
